predicted-university,gt-university,match,loose_match
georgia institute of technology,georgia institute of technology,1,1
georgia institute of technology,georgia institute of technology,1,1
georgia institute of technology,georgia institute of technology,1,1
georgia institute of technology,georgia institute of technology,1,1
georgia institute of technology,georgia institute of technology,1,1
georgia institute of technology,georgia institute of technology,1,1
georgia institute of technology,georgia institute of technology,1,1
georgia institute of technology,georgia institute of technology,1,1
georgia institute of technology,georgia institute of technology,1,1
georgia institute of technology,georgia institute of technology,1,1
georgia institute of technology,georgia institute of technology,1,1
georgia institute of technology,georgia institute of technology,1,1
georgia institute of technology,georgia institute of technology,1,1
georgia institute of technology,georgia institute of technology,1,1
georgia institute of technology,georgia institute of technology,1,1
georgia institute of technology,georgia institute of technology,1,1
georgia institute of technology,georgia institute of technology,1,1
georgia institute of technology,georgia institute of technology,1,1
georgia institute of technology,georgia institute of technology,1,1
georgia institute of technology,georgia institute of technology,1,1
stanford university,stanford university,1,1
stanford university,stanford university,1,1
stanford university,stanford university,1,1
stanford university,stanford university,1,1
stanford university,stanford university,1,1
stanford university,stanford university,1,1
stanford university,stanford university,1,1
stanford university,stanford university,1,1
stanford university,stanford university,1,1
stanford university,stanford university,1,1
stanford university,stanford university,1,1
stanford university,stanford university,1,1
stanford university,stanford university,1,1
stanford university,stanford university,1,1
stanford university,stanford university,1,1
stanford university,stanford university,1,1
stanford university,stanford university,1,1
stanford university,stanford university,1,1
stanford university,stanford university,1,1
stanford university,stanford university,1,1
university of michigan,university of michigan,1,1
university of michigan,university of michigan,1,1
university of michigan,university of michigan,1,1
university of michigan,university of michigan,1,1
university of michigan,university of michigan,1,1
university of michigan,university of michigan,1,1
university of michigan,university of michigan,1,1
university of michigan,university of michigan,1,1
university of michigan,university of michigan,1,1
university of michigan,university of michigan,1,1
university of michigan,university of michigan,1,1
university of michigan,university of michigan,1,1
university of michigan,university of michigan,1,1
university of michigan,university of michigan,1,1
university of michigan,university of michigan,1,1
university of michigan,university of michigan,1,1
university of michigan,university of michigan,1,1
university of michigan,university of michigan,1,1
university of michigan,university of michigan,1,1
university of michigan,university of michigan,1,1
"""""","university of maryland, college park",0,0
university of maryland,"university of maryland, college park",0,1
university of maryland,"university of maryland, college park",0,1
university of maryland,"university of maryland, college park",0,1
university of maryland,"university of maryland, college park",0,1
university of maryland,"university of maryland, college park",0,1
university of maryland,"university of maryland, college park",0,1
university of maryland,"university of maryland, college park",0,1
university of maryland,"university of maryland, college park",0,1
university of maryland,"university of maryland, college park",0,1
university of maryland,"university of maryland, college park",0,1
university of maryland,"university of maryland, college park",0,1
university of maryland,"university of maryland, college park",0,1
university of maryland,"university of maryland, college park",0,1
university of maryland,"university of maryland, college park",0,1
university of maryland,"university of maryland, college park",0,1
university of maryland,"university of maryland, college park",0,1
university of maryland,"university of maryland, college park",0,1
university of maryland,"university of maryland, college park",0,1
university of maryland,"university of maryland, college park",0,1
"""",the johns hopkins university,0,0
johns hopkins university,the johns hopkins university,0,1
johns hopkins university,the johns hopkins university,0,1
the johns hopkins university,the johns hopkins university,1,1
johns hopkins university,the johns hopkins university,0,1
johns hopkins university,the johns hopkins university,0,1
johns hopkins university,the johns hopkins university,0,1
johns hopkins university,the johns hopkins university,0,1
johns hopkins university,the johns hopkins university,0,1
johns hopkins university,the johns hopkins university,0,1
johns hopkins university,the johns hopkins university,0,1
johns hopkins university,the johns hopkins university,0,1
johns hopkins university,the johns hopkins university,0,1
johns hopkins university,the johns hopkins university,0,1
johns hopkins university,the johns hopkins university,0,1
johns hopkins university,the johns hopkins university,0,1
johns hopkins university,the johns hopkins university,0,1
johns hopkins university,the johns hopkins university,0,1
johns hopkins university,the johns hopkins university,0,1
johns hopkins university,the johns hopkins university,0,1
california institute of technology,california institute of technology,1,1
california institute of technology,california institute of technology,1,1
california institute of technology,california institute of technology,1,1
california institute of technology,california institute of technology,1,1
california institute of technology,california institute of technology,1,1
california institute of technology,california institute of technology,1,1
california institute of technology,california institute of technology,1,1
california institute of technology,california institute of technology,1,1
california institute of technology,california institute of technology,1,1
california institute of technology,california institute of technology,1,1
california institute of technology,california institute of technology,1,1
california institute of technology,california institute of technology,1,1
california institute of technology,california institute of technology,1,1
california institute of technology,california institute of technology,1,1
california institute of technology,california institute of technology,1,1
california institute of technology,california institute of technology,1,1
california institute of technology,california institute of technology,1,1
california institute of technology,california institute of technology,1,1
california institute of technology,california institute of technology,1,1
california institute of technology,california institute of technology,1,1
california institute of technology,california institute of technology,1,1
california institute of technology,california institute of technology,1,1
california institute of technology,california institute of technology,1,1
california institute of technology,california institute of technology,1,1
"""""",california institute of technology,0,0
"""""",colorado state university,0,0
"""""",colorado state university,0,0
"""""",colorado state university,0,0
"""""",colorado state university,0,0
"""""",colorado state university,0,0
colorado state university,colorado state university,1,1
colorado state university,colorado state university,1,1
colorado state university,colorado state university,1,1
colorado state university,colorado state university,1,1
colorado state university,colorado state university,1,1
colorado state university,colorado state university,1,1
colorado state university,colorado state university,1,1
colorado state university,colorado state university,1,1
colorado state university,colorado state university,1,1
colorado state university,colorado state university,1,1
colorado state university,colorado state university,1,1
colorado state university,colorado state university,1,1
colorado state university,colorado state university,1,1
colorado state university,colorado state university,1,1
colorado state university,colorado state university,1,1
colorado state university,colorado state university,1,1
colorado state university,colorado state university,1,1
colorado state university,colorado state university,1,1
colorado state university,colorado state university,1,1
colorado state university,colorado state university,1,1
