,extracted_academic-program,academic-program,program_matched
0,[''],['nuclear engineering'],0
1,['mathematics'],['mathematics'],1
2,['mechanical engineering'],['mechanical engineering'],1
3,['naval architecture and marine engineering'],['naval architecture and marine engineering'],1
4,['mathematics'],['mathematics'],1
5,['aeronautics and astronautics'],['aeronautics and astronautics'],1
6,['mechanical engineering'],['mechanical engineering'],1
7,['mechanical engineering'],['mechanical engineering'],1
8,['naval architecture and marine engineering'],['naval architecture and marine engineering'],1
9,['mechanical engineering'],['mechanical engineering'],1
10,[''],['architecture'],0
11,['mathematics'],['mathematics'],1
12,['mechanical engineering fibers and polymers division'],['mechanical engineering'],0
13,['architecture'],['architecture'],1
14,['architecture'],['architecture'],1
15,['architecture'],['architecture'],1
16,['chemical engineering'],['chemical engineering'],1
17,['mechanical engineering'],['mechanical engineering'],1
18,[''],['aeronautical engineering dept.'],0
19,['city and regional planning'],['architecture'],0
20,[''],['architecture'],0
21,[''],['architecture'],0
22,['city and regional planning'],['architecture'],0
23,['mechanical engineering'],['mechanical engineering'],1
24,['mechanical engineering'],['mechanical engineering'],1
25,['metal-carbon systems'],['metallurgy'],0
26,['city and regional planning'],['architecture'],0
27,['architecture'],['architecture'],1
28,['architecture'],['architecture'],1
29,[''],['biology'],0
30,[''],['architecture'],0
31,['chemistry'],['chemistry'],1
32,[''],['physics'],0
33,['city and regional planning'],['city and regional planning'],1
34,['mechanical engineering'],['mechanical engineering'],1
35,[''],['mechanical engineering'],0
36,['mechanical engitieering'],['mechanical engineering'],0
37,['mechanical engineering'],['mechanical engineering'],1
38,['mathematics'],['mathematics'],1
39,['architecture'],['architecture'],1
40,['architecture'],['architecture'],1
41,['architecture'],['architecture'],1
42,['architecture'],['architecture'],1
43,['chemical engineering'],['chemical engineering'],1
44,['metallurgy'],['metallurgy'],1
45,[''],['architecture'],0
46,[''],['civil and environmental engineering'],0
47,[''],['mechanical engineering'],0
48,['mathematics'],['mathematics'],1
49,[''],['naval architecture and marine engineering'],0
50,['vocational and technical education'],['marketing'],0
51,['administration and supervision of special education'],['special education'],0
52,['chemistry'],['polymers'],0
53,['educational administration'],['education history'],0
54,['chemistry'],['analytical chemistry'],0
55,['civil engineering'],['civil engineering'],1
56,['electrical engineering'],['electrical engineering'],1
57,['industrial engineering and operations research'],['industrial engineering'],0
58,['geological sciences'],['geology'],0
59,['botany'],['botany'],1
60,['chemistry'],['chemistry'],1
61,['finance'],['finance'],1
62,['educational administration'],['school administration'],0
63,['electrical engineering'],['electrical engineering'],1
64,['engineering mechanics'],['materials science'],0
65,['agronomy'],['agronomy'],1
66,['family and child development'],['home economics'],0
67,['botany'],['botany'],1
68,['engineering science and mechanics'],['mechanics'],0
69,['food science and technology'],['food science'],0
70,['educational administration'],['school administration'],0
71,['forestry'],['forestry'],1
72,['counselor education'],['academic guidance counseling'],0
73,['aerospace and ocean engineering'],['aerospace materials'],0
74,['curriculum and instruction'],['curricula'],0
75,['administration and supervision of special education'],['academic guidance counseling'],0
76,['curriculum and instruction'],['curricula'],0
77,['counseling and student personnel services'],['academic guidance counseling'],0
78,['chemistry'],['polymers'],0
79,['materials engineering science'],['polymers'],0
80,['adult and continuing education'],['adult education'],0
81,['chemical engineering'],['chemical engineering'],1
82,['chemical engineering'],['chemical engineering'],1
83,['mining and minerals engineering'],['mining'],0
84,['geology'],['geochemistry'],0
85,['engineering mechanics'],['mechanics'],0
86,['biology'],['botany'],0
87,['animal science'],['livestock'],0
88,['wood science and forest products'],['forestry'],0
89,[''],['developmental psychology'],0
90,['educational administration'],['school administration'],0
91,['vocational and technical education'],['vocational education'],0
92,['electrical engineering'],['optics'],0
93,['family and child development'],['preschool education'],0
94,['environmental design and planning'],['architecture'],0
95,['civil engineering'],['civil engineering'],1
96,['engineering mechanics'],['materials science'],0
97,['weed science'],['botany'],0
98,['chemistry'],['chemistry'],1
99,['chemistry'],['polymers'],0
